Time: 67.4837291563 seconds, RAM: 42.9250479127 Mb.
Time: 69.2541393847 seconds, RAM: 42.9523906250 Mb.
Time: 65.7135441746 seconds, RAM: 42.6633289843 Mb.
Time: 71.1950552951 seconds, RAM: 42.8156729127 Mb.
Time: 67.7630911361 seconds, RAM: 42.7414539843 Mb.
Time: 69.3474612724 seconds, RAM: 42.7531716309 Mb.
Time: 66.6008112918 seconds, RAM: 42.7961406250 Mb.
Time: 65.7093432437 seconds, RAM: 42.9680153842 Mb.
Time: 73.7953203212 seconds, RAM: 42.7648906250 Mb.
Time: 77.4938540946 seconds, RAM: 43.0695789127 Mb.
Time: 76.6250303279 seconds, RAM: 43.1008289843 Mb.
Time: 79.4141843807 seconds, RAM: 42.6086406250 Mb.
Time: 79.3746071349 seconds, RAM: 42.9094218750 Mb.
Time: 77.3732274066 seconds, RAM: 42.7336406250 Mb.
